S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
21,I,21,Chinna Sekadu (Part),2.67,1.185,1.87,2.63,2.78,2.514,1.787,2.442,6.834,2.655,1.48,1.899
22,III,22,Kavankarai,3.69,5.096,2.902,3.33,3.48,3.125,3.593,3.581,3.249,3.327,1.59,3.414
23,III,23,Puzhal,7.64,8.501,7.724,8.55,8.59,8.19,9.78,7.47,6.213,7.127,3.42,6.094
24,III,24,Surappattu,6.53,11.021,14.589,19.46,21.29,21.776,23.322,20.928,18.034,20.558,15.68,2.363
25,III,25,Kathirvedu,7.47,11.704,13.248,15.67,16.24,16.54,18.882,16.58,16.12,16.93,11.63,2.95
26,III,26,Madhavaram,5.31,9.582,10.425,13.02,14.63,13.822,14.615,12.787,9.665,11.689,7.68,2.631
27,III,27,Milk Colony,3.03,4.041,5.125,5.59,6.5,7.301,7.649,7.555,6.486,7.213,3.94,1.66
28,III,28,Chinna Sekadu,1.7,2.063,2.32,3.28,3.29,3.58,4.515,4.15,4,3.38,1.95,1.44
29,III,29,Chinnandi Madam,3.25,1.867,1.608,1.68,1.78,1.934,1.845,1.771,1.65,1.55,0.17,0.656
30,III,30,Alex Nagar,3,3.206,3.575,4.64,5.63,5.78,6.499,6.2,6.35,10.29,10.3,10.32
31,III,31,Moolakadai,11.4,3.78,4.556,5.83,6.51,6.643,7.257,6.774,6.18,6.591,3.08,2.019
32,III,32,Kalpalaiyam,3.84,3.493,3.5,5.89,6.47,17.472,19.224,20.324,19.143,19.366,10.77,7.93
33,III,33,Thatankulam,3.17,4.137,4.405,5.94,6.68,5.923,7.116,6.067,5.464,5.444,1.41,2.537
34,IV,34,Kodungaiyur (West),3.17,3.813,4.183,4.65,5.08,4.821,5.38,4.939,4.796,4.809,1.34,0.88
35,IV,35,Thiruvalluvar Nagar,4.93,5.456,5.894,6.55,6.52,6.23,7.493,7.12,7.25,7.12,5.46,2
36,IV,36,Perambur (East),4.93,,4.923,6.52,6.52,5.224,5.709,5.217,4.863,4.84,5.46,2.71
37,IV,37,Kodungaiyur (East),2.9,3.275,2.911,3.03,3.23,2.695,3.18,2.594,2.399,2.422,1.27,2.21
38,IV,38,Dr.Radhakrishnan Nagar (North),2.66,2.761,2.763,2.79,2.98,2.783,2.963,2.793,2.737,2.828,2.16,2.18
39,IV,39,Cheriyan Nagar North / South,3.77,4.26,4.56,3.77,3.77,3.89,4.785,4.65,4.68,4.85,4.07,3.49
40,IV,40,Jeeva Nagar (North),2.51,2.552,2.591,2.65,2.65,2.78,2.834,2.65,2.72,3,3.04,1.55
41,IV,41,Vyasarpadi North / Kumarasamy Nagar North,2.01,2.202,1.937,2.15,2.54,2.112,2.62,2.115,1.614,2.02,1.25,1.58
42,IV,42,Korukkupet,2.23,2.336,2.439,2.56,2.62,2.87,2.92,2.64,2.53,3.15,2.62,1.54
43,IV,43,Tondiarpet,2.02,2.172,2.351,2.73,2.89,3.128,3.308,3.25,3.45,3.59,2.95,1.3
44,IV,44,Perambur (North),8.39,8.729,8.827,9.13,9.27,9.145,9.337,9.103,8.64,8.458,6.72,4.6
45,IV,45,Elango Nagar,5.09,5.204,5.317,5.51,5.55,5.87,5.755,5.62,0,5.74,4.19,1.28
46,IV,46,Vyasarpadi (South),2.45,3.081,2.938,3.11,3.43,3.299,3.481,3.25,3.34,2.57,1.61,1.75
47,IV,47,Dr.Radhakrishnan Nagar (South),1.81,2.012,2.099,2.23,2.51,2.072,2.503,2.222,1.749,2.028,1.09,1.46
48,IV,48,Mottai Thottam,2.37,2.547,2.757,3.09,3.36,3.279,3.686,3.186,2.872,3.213,1.9,1.95
49,V,49,Grace Garden,2.92,3.229,3.334,4.01,4.32,4.197,4.633,4.571,4.359,4.667,3.4,1.95
50,V,50,Royapuram,2.24,2.372,2.416,2.51,2.54,2.595,2.639,2.673,2.694,2.71,2.73,1.64
51,V,51,Narayana Garden / Old Washermenpet,2.97,3.363,3.699,3.83,4.09,4.152,4.436,4.12,4.261,4.425,3.41,2.15
52,V,52,Meenakshiammanpet,3.34,3.89,3.97,4.17,4.17,4.27,4.51,4.74,4.565,4.789,4.14,2.7
53,V,53,Basin Bridge,24.83,,,24.83,24.83,24.98,25.61,24.61,23.5,Removed,Removed,Removed
54,V,54,Kondithope / Peddunaickenpet,3.9,4.07,4.303,4.28,4.66,4.158,4.809,4.454,0,4.257,3.06,3.2
55,V,55,Seven Wells (North / South),5.08,5.372,5.668,6.26,6.47,6.334,6.53,6.23,6.894,7.104,5.95,4.53
56,V,56,Muthialpet,,10.292,10.275,,,10.58,11.23,10.25,10.308,10.341,10.12,10.02
57,V,57,Sowcarpet,4.78,5.15,5.89,5.94,6.12,6.23,6.58,6.677,6.632,6.876,5.72,4.36
58,V,58,Poonga Nagar,8.2,8.729,9.061,9.58,10.08,9.843,9.968,9.943,9.822,9.695,8.77,7.89
59,V,59,Edapalayam / Nehru Nagar,6.36,6.897,7.2,7.36,7.68,7.214,7.702,7.52,7.66,7.19,4.94,5.52
60,V,60,Vallal Seethakathi Nagar,4.02,4.032,4.034,4.06,4.05,4.15,4.36,4.102,4.123,4.139,4.15,4.07
61,V,61,Egmore / Pudupet,6.87,7.58,8.21,8.19,8.19,8.25,9.587,9.58,0,9.04,7.11,6.46
62,V,62,Chintadripet,2.42,2.73,2.711,2.77,2.95,3.12,2.806,2.65,2.302,2.438,1.05,1.98
63,V,63,Komaleeswaranpet,3.55,3.991,4.341,4.93,5.32,4.942,5.354,4.658,4.547,4.675,1.86,2.08
64,VI,64,Kolathur,1.5,1.947,2.1,2.18,2.24,1.337,1.4,1.45,0,1.21,0.51,1.37
65,VI,65,Venus Nagar,1.24,1.306,1.56,1.49,2.1,1.067,1.41,0.637,0.534,0.554,0.22,0.71
66,VI,66,Agaram (North),1.93,2.435,2.063,2.5,3.05,2.238,3.068,2.391,2.022,2.06,0.59,1.52
67,VI,67,Agaram (South),6.65,7.506,8.015,8.44,9.03,9.15,9.958,9.709,9.376,9.231,6.96,3.04
68,VI,68,Sembium,7.27,7.905,8.058,8.45,8.45,8.196,8.902,8.504,7.668,7.603,3.48,2.12
69,VI,69,Siruvallur,,0,0,0,0,0,0,#REF!,0,0,0,Demolished
