S.No.,Area No.,Dept No.,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year
146.0,XI,146,Nerkundram,2.2,2.88,3.2,3.49,3.84,4.26,4.11,0.0,4.25,4.2,1.2,0.929,2.879916666666667,2021
147.0,XI,147,Maduravoyal,1.23,2.07,2.56,2.75,3.3,3.54,3.44,4.23,3.7,3.56,,0.269,2.786272727272727,2021
148.0,XI,148,Nerkundram,2.03,2.51,3.06,2.74,3.29,4.02,3.65,3.72,0.0,3.25,0.537,1.36,2.5139166666666664,2021
149.0,XI,149,Valasaravakkam,2.02,2.53,2.94,3.63,3.69,4.03,3.65,3.53,3.55,3.18,0.98,1.46,2.9325000000000006,2021
150.0,XI,150,Karambakkam,1.93,2.46,2.8,3.48,3.53,3.61,3.47,3.61,3.24,2.91,0.789,1.255,2.7569999999999997,2021
151.0,XI,151,Porur,2.48,3.07,3.49,3.18,3.37,4.66,4.62,3.16,4.77,4.69,0.773,1.485,3.312333333333333,2021
152.0,XI,152,Valasaravakkam,2.99,3.38,3.73,3.93,4.26,4.78,4.76,4.73,5.0,5.11,1.563,2.188,3.868416666666667,2021
153.0,XI,153,Porur,3.18,3.62,3.98,4.11,4.41,4.69,4.39,5.02,4.61,4.98,2.397,2.927,4.026166666666668,2021
154.0,XI,154,Ramapuram,2.95,3.67,4.05,4.19,4.54,5.18,5.03,4.09,4.96,4.78,0.157,1.586,3.76525,2021
155.0,XI,155,Ramapuram,3.06,3.26,3.48,4.44,4.81,4.37,4.37,4.88,4.38,4.3,0.44,1.923,3.64275,2021
156.0,XII,156,Mugalivakkam,11.82,12.76,14.07,14.67,14.27,15.11,15.12,4.38,15.41,15.22,9.035,11.937,12.816833333333333,2021
157.0,XII,157,Manapakkam,2.26,3.23,4.02,5.0,5.67,6.48,6.48,15.19,6.62,5.98,0.658,1.91,5.291499999999999,2021
158.0,XII,158,Nandambakkam,3.58,4.87,5.74,6.3,7.12,7.03,6.62,6.78,6.77,6.0,2.15,3.473,5.536083333333334,2021
159.0,XII,159,Meenampakkam,3.06,3.55,3.86,4.75,4.61,4.78,4.45,4.23,4.0,3.71,1.29,2.612,3.7418333333333336,2021
160.0,XII,160,Alandur,1.57,3.29,4.52,5.93,6.72,6.76,5.01,6.81,4.06,2.97,0.111,1.357,4.092333333333333,2021
161.0,XII,161,Alandur Part / Adampakkam Part,2.7,2.8,2.61,2.65,2.97,2.71,2.79,4.48,2.55,2.55,1.83,2.634,2.7728333333333333,2021
162.0,XII,162,T.G.Nagar / Nanganallur Part,3.06,3.83,4.15,4.35,4.53,4.35,3.71,3.95,2.94,2.76,1.95,2.495,3.5062499999999996,2021
163.0,XII,163,Adampakkam Part,2.24,3.07,3.82,4.09,4.27,4.17,2.82,2.57,1.98,1.63,1.509,2.008,2.8480833333333333,2021
164.0,XII,164,Nanganallur Part / Pazhavanthangal Part,3.65,3.77,4.03,4.5,4.42,4.37,4.0,3.19,2.99,2.98,1.532,3.08,3.542666666666667,2021
165.0,XII,165,Adampakkam Part / Balaji Nagar,3.48,4.41,4.71,5.21,5.59,5.18,4.42,2.17,3.49,3.41,2.032,3.489,3.9659166666666668,2021
166.0,XII,166,B.V.Nagar / Nanganallur Part,1.97,2.37,2.51,3.24,3.2,4.76,2.64,2.79,1.88,1.82,1.409,2.097,2.557166666666667,2021
167.0,XII,167,Nanganallur,2.62,2.97,3.17,3.27,3.05,3.02,2.92,4.01,2.26,2.35,1.769,2.501,2.825833333333333,2021
170.0,XIII,170,Guindy West,4.3,4.64,4.82,5.12,5.17,5.32,5.19,2.48,5.17,4.99,0.871,2.774,4.237083333333334,2021
171.0,XIII,171,GD Naidu Nagar South,5.68,5.94,6.17,6.44,6.38,6.5,6.29,5.22,6.42,6.3,1.25,3.433,5.501916666666666,2021
172.0,XIII,172,GD Naidu Nagar East,1.19,1.13,1.56,1.67,1.74,2.89,1.52,6.35,1.2,2.27,,0.302,1.9838181818181817,2021
173.0,XIII,173,Raja Annamalaipuram,1.45,1.65,1.83,1.92,2.03,1.8,1.61,1.47,0.0,1.18,0.031,1.11,1.3400833333333333,2021
174.0,XIII,174,Guindy East,1.4,1.53,1.74,1.58,1.86,2.07,1.71,1.52,1.31,1.29,0.875,1.605,1.5408333333333335,2021
175.0,XIII,175,Adyar West,4.71,5.04,5.35,5.74,5.97,6.19,6.2,1.32,5.92,5.03,0.608,1.547,4.468749999999999,2021
176.0,XIII,176,Adyar East,3.26,3.42,3.53,3.53,3.74,4.05,4.19,6.16,3.9,3.39,0.564,1.483,3.4347499999999997,2021
177.0,XIII,177,Velachery,2.03,2.65,2.87,2.98,2.67,2.01,1.93,4.06,0.0,1.09,0.575,1.006,1.9892499999999995,2021
178.0,XIII,178,Velachery,1.11,1.13,1.21,1.17,1.16,0.98,0.66,1.38,0.34,0.41,0.211,0.545,0.8588333333333334,2021
